DEPO_CODE|SKU|NOP|SYS_DATE|SYSTEM|SYS_DATE1|Y
002|F000000001000500|291|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000001001000|239|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000001004000|88|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000134001000|42|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000160004000|7|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000186000500|272|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000186001000|42|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000186004000|113|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000205000500|432|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000205001000|564|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000205004000|89|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000207000500|246|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000207001000|144|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000207004000|57|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000208000500|440|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000208001000|108|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000209000500|430|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000209001000|576|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000209004000|144|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000211000500|48|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000211004000|7|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000257004000|64|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000261004000|8|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000263000500|345|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000263001000|471|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000263004000|92|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000274004000|40|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000300001000|162|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000300004000|24|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000300020000|2|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000304000500|360|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000304001000|384|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000304004000|66|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000306000500|48|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000306004000|28|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000317001000|2|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000356000500|144|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000356001000|270|06/07/2021|SYSTEM|06/07/2021|Y|
002|F000000356004000|184|06/07/2021|SYSTEM|06/07/2021|Y|
