DEPO_CODE|SKU|NOP|SYS_DATE|SYSTEM|SYS_DATE1|Y
002|F000000001000500|292|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000001001000|240|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000001004000|88|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000134001000|42|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000160004000|4|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000186004000|55|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000205000500|360|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000205001000|246|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000205004000|92|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000207000500|174|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000207001000|10|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000207004000|16|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000208000500|472|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000208001000|192|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000209000500|56|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000209001000|84|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000209004000|12|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000211000500|16|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000257000500|16|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000257004000|64|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000261000500|7|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000261004000|16|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000263000500|384|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000263001000|484|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000263004000|96|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000274000500|2|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000274004000|40|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000300000500|182|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000300001000|150|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000300004000|32|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000300020000|4|02/11/2020|SYSTEM|02/11/2020|Y|
002|F000000304000500|288|02/11/2020|SYSTEM|02/11/2020|Y|
