DEPO_CODE|SKU|NOP|SYS_DATE|SYSTEM|SYS_DATE1|Y
002|F000000E61004000|144|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000H60000500|632|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000H60001000|216|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000H60004000|94|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000H61000500|526|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000H61001000|252|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000H61004000|91|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000020000020000|10|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000020134000500|16|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000020160004000|8|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000020530020000|1|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000020561000500|3|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000020634020000|7|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000020800001000|156|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000030991000500|1968|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000030991004000|5|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040023000050|1536|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040023000100|1160|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040023000200|570|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040134000050|140|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040134000100|60|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040134000200|130|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040160000050|800|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040160000100|340|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040160000200|200|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040166000050|120|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040263000050|713|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040263000100|560|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040263000200|200|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040317000050|240|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040317000200|270|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040360000050|1220|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040360000100|1305|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040360000200|190|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040401000050|660|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040401000100|1496|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040401000200|185|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040416000050|980|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040416000100|880|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040416000200|510|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040432000050|2080|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040432000100|1840|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040432000200|1100|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040530000050|1400|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040530000100|560|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040530000200|120|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040533000050|699|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040533000100|429|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040533000200|1630|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040561000050|680|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040561000100|540|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040561000200|650|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040634000050|1800|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040634000100|1930|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040634000200|1390|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040665000050|129|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040665000200|10|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040800000050|2847|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040800000100|580|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000040800000200|680|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060133002001|135|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060133005001|120|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060133010001|120|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060133020001|93|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060144002001|48|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060144005001|56|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060144010001|22|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060144020001|29|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060186002001|39|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060186005001|405|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060186010001|75|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060186020001|38|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060203002001|318|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060203005001|84|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060203010001|46|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060203020001|47|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060209002001|148|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000060209005001|168|31/03/2021|SYSTEM|31/03/2021|Y|
